,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error
0,a Blatobulgio,Birrens,Birrens,Birrens,0,0
1,Castra Exploratorum,Netherby,Netherby,Netherby,14,-2
2,Luguvallo,Carlisle,Carlisle,Carlisle,11,1
,Voreda,Old Penrith,Old Penrith,Old Penrith,14,0
,Brovonacis,Kirkby Thore,Kirkby Thore,Kirkby Thore,14,-1
,Verteris,Brough,Brough,Brough,13,0
,Lavatris,Bowes,Bowes,Bowes,14,0
,Cataractone,Catterick,Catterick,Catterick,21,-5
,Isuriam,Aldborough,Aldborough,Aldborough,25,-1
,Eburacum,York,York,York,17,0
,Calcaria,Tadcaster,Tadcaster,Tadcaster,10,-1
,Camboduno,Nr. Dewsbury,,North Dewsbury,?,
,Mamucio,Manchester,,Manchester,?22,(-4)
,Condate,Northwich,Northwich,Northwich,20,-2
,DevalegXXVic,Chester,Chester,Chester,20,0
,Bovio,Holt (?),,Holt,10,0
,Medialano,Whitchurch,Whitchurch,Whitchurch,15,5
,Rutunio,Harcourt Mill (River Roden),Harcourt Mill (River Roden),Harcourt Mill (River Roden),12,0
,Urioconio,Wroxeter,Wroxeter,Wroxeter,11,0
,Uxacona,Red Hill,Red Hill,Red Hill,11,0
,Pennocrucio,Nr. Penkridge,North Penkridge,North  Penkridge,12,0
,Etoceto,"Wall, nr. Lichfield","Wall, nr. Lichfield","Wall, nr. Lichfield",14,-2
,Manduesedo,Nr. Mancetter,North Mancetter,North Mancetter,16,0
,Venonis,High Cross,High Cross,High Cross,11,1
,Bannaventa,Whilton Lodge,Whilton Lodge,Whilton Lodge,19,-2
,Lactodoro,Towcester,Towcester,Towcester,12,0
,Magiovinto,Dropshort,Dropshort,Dropshort,16,-1
,Durocobrivis,Dunstable,Dunstable,Dunstable,12,0
,Verolamio,St. Albans,St. Albans,St. Albans,13,-1
,Sulloniacis,Brockley Hill,Brockley Hill,Brockley Hill,9,0
,Londinio,London,London,London,13,-1
,Noviomago,Crayford,Crayford,Crayford,13,-3
,Vagniacis,Springhead,Springhead,Springhead,8,11
,Durobrovis,Rochester,Rochester,Rochester,9,0
,Durolevo,Between Sittingbourne and Faversham,,Between Sittingbourne and Faversham,X,X
,Duroverno,Canterbury,Canterbury,Canterbury,27,-2
,Ad Portum Ritupis,Richborough,Richborough,Richborough,13,-1
