,Itinerary Text,Identification,Higher Confidence,All Identification,Roman Miles,Error,Country
0,Caesaromago,Widford,Widford,Widford,30,-2,UK
1,Colonia,Colchester,Colchester,Colchester,24,0,UK
2,Villa Faustini,Scole,Scole,Scole,36,-1,UK
3,Icinos,Caistor,Caistor,Caistor,18,0,UK
4,Camborico,Hockwold?,,Hockwold,36,-1,UK
5,Duroliponte,Cambridge,Cambridge,Cambridge,26,-1,UK
6,Durobrivas,Water Newton,Water Newton,Water Newton,36,-1,UK
7,Causennis,(Ancaster??),,Ancaster,37,-7,UK
8,Lindo,Lincoln,Lincoln,Lincoln,19,0,UK
9,Segeloci,Littleborough,Littleborough,Littleborough,14,7,UK
10,Dano,Doncaster,Doncaster,Doncaster,23,-2,UK
11,Legeolio,Castleford,Castleford,Castleford,18,-2,UK
12,Eburaco,York,York,York,23,-2,UK
13,Isubrigantum,Aldborough,Aldborough,Aldborough,17,0,UK
14,Cataractoni,Catterick,Catterick,Catterick,25,-1,UK
15,Levatris,Bowes,Bowes,Bowes,21,-3,UK
16,Verteris,Brough,Brough,Brough,14,0,UK
17,Brocavo,Brougham,Brougham,Brougham,20,0,UK
18,Luguvalio,Carlisle,Carlisle,Carlisle,21,0,UK
