,source,target,cost,sid,tid
0,Abodiacum,Cambodunum,1.755,50001,50100
1,Brigantium,Cambodunum,2.059,50083,50100
2,Abodiacum,Maiensis Statio,7.888,50001,50473
3,Pons Drusi,Maiensis Statio,0.895,50315,50473
4,Abodiacum,Augusta Vindelicum,1.909,50001,50056
5,Abodiacum,Parthanum,2.299,50001,50293
6,Ad fl. Tigrim,Nisibis,3.226,50002,50275
7,Edessa,Nisibis,7.893,50161,50275
8,Ad Publicanos,Genava,2.842,50003,50182
9,Ad Publicanos,Augusta Praetoria,3.82,50003,50052
10,Ad Tricesimum,Aquileia,1.603,50004,50034
11,Ad Tricesimum,x,0.921,50004,50747
12,Iulium Carnicum,x,0.531,50211,50747
13,Santicum,x,2.679,50339,50747
14,Ad Aras,Saguntum,4.484,50005,50332
15,Dertosa,Saguntum,5.313,50145,50332
16,Ad Aras,Carthago Nova,5.025,50005,50108
17,Ad Aras,Mariana,6.883,50005,50248
18,Castulo,Mariana,3.179,50111,50248
19,Adramyttium,Pergamum,1.745,50006,50300
20,Adramyttium,Alexandria Troas,4.23,50006,50019
21,Aeclanum,Beneventum,0.823,50007,50069
22,Aequum Tuticum,Beneventum,1.054,50009,50069
23,Aeclanum,Venusia,2.66,50007,50410
24,Tarentum,Venusia,4.74,50377,50410
25,Aelana,Petra,4.155,50008,50302
26,Gaza,Petra,6.395,50181,50302
27,Aequum Tuticum,Bovianum,2.187,50009,50081
28,Aesernia,Bovianum,0.863,50010,50081
29,Aequum Tuticum,Herdoniae,1.765,50009,50193
30,Canusium,Herdoniae,1.371,50102,50193
31,Aesernia,Corfinium,2.457,50010,50132
32,Alba Fucens,Corfinium,1.36,50015,50132
33,Ara Agrippinensium,Bonna,0.889,50012,50077
34,Ara Agrippinensium,Bagacum,8.307,50012,50063
35,Ara Agrippinensium,Ulpia Traiana Tricensimae,3.541,50012,50125
36,Aguntum,x,3.393,50013,50763
37,Pons Drusi,x,1.602,50315,50763
38,Veldidena,x,2.352,50408,50763
39,Aguntum,Iulium Carnicum,1.899,50013,50211
40,Ake-Ptolemais,Tyrus,1.607,50014,50405
41,Berytus,Tyrus,2.778,50073,50405
42,Ake-Ptolemais,Caesarea Maritima,2.059,50014,50094
43,Alba Fucens,Tibur,2.233,50015,50393
44,Roma,Tibur,0.993,50327,50393
45,Albulae,Siga,1.015,50016,50354
46,Rusaddir,Siga,5.704,50328,50354
47,Albulae,Sufasar,13.019,50016,50368
48,Auzia,Sufasar,4.088,50060,50368
49,Iol Caesarea,Sufasar,2.572,50206,50368
50,Alexandria,Paraetonium,10.005,50017,50291
51,Catabathmus Maior,Paraetonium,7.399,50112,50291
52,Alexandria,Hierakonpolis,2.177,50017,50196
53,Alexandria Troas,Ilium,0.811,50019,50204
54,Altinum,x,0.836,50020,50746
55,Patavium,x,0.787,50294,50746
56,Atria,x,1.485,50502,50746
57,Altinum,Iulia Concordia,1.498,50020,50209
58,Aquileia,Iulia Concordia,1.504,50034,50209
59,Ammaedara,Theveste,1.252,50021,50390
60,Sufetula,Theveste,3.563,50369,50390
61,Thamugadi,Theveste,5.59,50385,50390
62,Thelepte,Theveste,2.372,50387,50390
63,Ammaedara,Musti,3.793,50021,50260
64,Carthago,Musti,4.321,50107,50260
65,Ancona,Castrum Truentinum,3.173,50022,50110
66,Asculum,Castrum Truentinum,0.982,50047,50110
67,Aternum,Castrum Truentinum,1.937,50049,50110
68,Ancona,Fanum Fortunae,1.759,50022,50171
69,Ariminum,Fanum Fortunae,1.571,50042,50171
70,Ancyra,Nicaea,10.503,50023,50271
71,Ancyra,Tabia,5.605,50023,50376
72,Ancyra,Archelais,7.697,50023,50039
73,Ancyra,Germa,4.245,50023,50184
74,Dorylaion,Germa,3.593,50153,50184
75,Ancyra,Flaviopolis,4.711,50023,50219
76,Claudiopolis,Flaviopolis,1.791,50076,50219
77,Antiochia,Myriandros,1.635,50024,50644
78,Katabolos,Myriandros,1.812,50216,50644
79,Antiochia,Seleukeia Pieria,0.817,50024,50454
80,Antiochia,Laodicea,3.019,50024,50225
