,lat,long,type,site,code,xrubio_id,,,city,country
0,-1.983333,51.733333,Dressel 20,Cirencester,CPCAMO,16590,,,Cirencester,UK
1,1.333333,51.283333,Dressel 20,Edinburgh,ACIRGI,15497,,,Edinburgh,UK
2,-0.093145,51.514248,Mortarium,London,VRBANVSTIBERF,30734,,,London,UK
3,0.9,51.883333,Dressel 20,Colchester,CANTONIQVIETI,15567,,,Colchester,UK
4,-2.016667,54.966667,Dressel 20,Corbridge,PMPM,16345,,,Corbridge,UK
5,-0.093145,51.514248,Dressel 20,London,PORLAR,15458,,,London,UK
6,-0.093145,51.514248,Dressel 20,London,QANTRVG,15615,,,London,UK
7,-1.083333,53.966667,Dressel 20,York,LIVNIMELISSI,16259,,,York,UK
8,-2.016667,54.966667,Dressel 20,Corbridge,OICSVPVRO,17196,,,Corbridge,UK
9,-2.916667,53.2,Dressel 20,Chester,CS,17189,,,Chester,UK
10,-0.25,51.833333,Dressel 20,St. Albans,LANTSVRI,15619,,,St. Albans,UK
11,1.333333,51.283333,Dressel 20,Edinburgh,QANTRVG,15614,,,Edinburgh,UK
12,-0.25,51.833333,Dressel 20,St. Albans,QCCI,15736,,,St. Albans,UK
13,0.2,52.066667,Dressel 20,Chesterford,CAMILIMELISSI,15845,,,Chesterford,UK
14,-2.916667,53.2,Dressel 20,Chester,AAFAAE,15383,,,Chester,UK
15,1.083333,51.266667,Dressel 6,Canterbury,HERMES,27982,,,Canterbury,UK
16,-0.093145,51.514248,Dressel 20,London,QFLAVIFLAVIANI,16647,,,London,UK
17,-1.083333,53.966667,Dressel 20,York,PMOCVFIGEDO,16439,,,York,UK
18,-1.066667,51.35,Dressel 20,Silchester,TFA,15949,,,Silchester,UK
19,0.9,51.883333,Dressel 20,Colchester,SATVRNINI,16833,,,Colchester,UK
20,-2.958889,51.613333,Dressel 20,Caerleon,BELLVC,15698,,,Caerleon,UK
21,-0.093145,51.514248,Dressel 20,London,PAH,15423,,,London,UK
22,-2.016667,54.966667,Dressel 20,Corbridge,MFF,16005,,,Corbridge,UK
23,-2.75,54.316667,Dressel 20,Watercrook,MMCS,15801,,,Watercrook,UK
24,-0.093145,51.514248,Dressel 20,London,CAPF,15632,,,London,UK
25,-2.766667,51.61,Dressel 20,Caerwent,ACIR,15504,,,Caerwent,UK
26,-1.066667,51.35,Dressel 20,Silchester,LIT,16205,,,Silchester,UK
27,-0.533333,53.233333,Dressel 20,Lincoln,LFC,15972,,,Lincoln,UK
28,0.9,51.883333,Dressel 20,Colchester,PARVA,15636,,,Colchester,UK
29,-0.093145,51.514248,Dressel 20,London,IIIMINICIOR,16432,,,London,UK
30,1.333333,51.283333,Dressel 20,Edinburgh,QIA,16086,,,Edinburgh,UK
31,-0.093145,51.514248,Dressel 20,London,CALPVRNIB,15838,,,London,UK
32,-0.25,51.833333,Dressel 20,St. Albans,CA,17118,,,St. Albans,UK
33,-0.093145,51.514248,Amphora incerta,London,HAL,20533,,,London,UK
34,-0.25,51.833333,Dressel 20,St. Albans,GRA,16685,,,St. Albans,UK
35,-2.016667,54.966667,Dressel 20,Corbridge,IIIMINICIOR,16437,,,Corbridge,UK
36,-2.65,52.666667,Dressel 20,Wroxeter,CMARISILVANI,16423,,,Wroxeter,UK
37,-0.533333,53.233333,Dressel 20,Lincoln,PMANISVP,16416,,,Lincoln,UK
38,-2.678333,51.007222,Dressel 20,Ilchester,PNN,16460,,,Ilchester,UK
39,0.9,51.883333,Dressel 20,Colchester,MIM,16137,,,Colchester,UK
40,-1.421389,54.987778,Dressel 20,South Shields,LIVNIMELISSI,16255,,,South Shields,UK
41,-0.093145,51.514248,Mortarium,London,PLNEAS,30702,,,London,UK
42,-0.093145,51.514248,Amphora incerta,London,SEXMTC,30710,,,London,UK
43,-2.016667,54.966667,Dressel 20,Corbridge,PMMASS,16364,,,Corbridge,UK
44,-0.093145,51.514248,Dressel 20,London,THALI,17010,,,London,UK
45,-1.983333,51.733333,Dressel 20,Cirencester,POROCODV,16567,,,Cirencester,UK
46,-0.093145,51.514248,Mortarium,London,ANDIDFECIT,30685,,,London,UK
47,-2.933333,54.883333,Dressel 20,Carlisle,DOM,32257,,,Carlisle,UK
48,1.333333,51.283333,Dressel 20,Edinburgh,MAEME,15525,,,Edinburgh,UK
49,-3.533333,50.7,Dressel 20,Exeter,CEFP,15902,,,Exeter,UK
50,-2.933333,54.883333,Dressel 20,Carlisle,PANNIRVFI,15558,,,Carlisle,UK
51,-0.25,51.833333,Dressel 20,St. Albans,C,17115,,,St. Albans,UK
52,-3,53.166667,Dressel 20,Broughton,GRA,16683,,,Broughton,UK
53,-0.093145,51.514248,Dressel 20,London,CAPF,15629,,,London,UK
54,1.333333,51.283333,Dressel 20,Edinburgh,LHRR,16056,,,Edinburgh,UK
55,-0.093145,51.514248,Dressel 20,London,ACIRGI,15496,,,London,UK
56,-2.016667,54.966667,Dressel 20,Corbridge,LCAX,32742,,,Corbridge,UK
57,-0.6,53.65,Dressel 20,Winterton,MAR,15469,,,Winterton,UK
58,1.333333,51.283333,Dressel 20,Edinburgh,VRITTIPV,17103,,,Edinburgh,UK
59,-2.333333,55.016667,Dressel 20,Housesteads,FSCIMNIANO,16931,,,Housesteads,UK
60,-2.016667,54.966667,Dressel 20,Corbridge,FSCIMNIANO,16927,,,Corbridge,UK
61,-1.75,54.666667,Dressel 20,Durhamshire,DOM,16543,,,Durhamshire,UK
62,0.9,51.883333,Dressel 20,Colchester,PNN,16492,,,Colchester,UK
63,-2.766667,51.61,Dressel 20,Caerwent,SATVRNINI,16845,,,Caerwent,UK
64,-0.093145,51.514248,Dressel 20,London,QSP,16789,,,London,UK
65,-1.083333,53.966667,Dressel 20,York,LAT,15424,,,York,UK
66,-2.016667,54.966667,Dressel 20,Corbridge,LVL,17029,,,Corbridge,UK
67,-1.083333,53.966667,Dressel 20,York,MFS,15907,,,York,UK
68,-0.093145,51.514248,Dressel 20,London,QSP,16787,,,London,UK
69,-2.533333,53.8,Dressel 20,Ribchester,GAVFL,15481,,,Ribchester,UK
70,-1.083333,53.966667,Dressel 20,York,BARBA,16686,,,York,UK
71,-2.333333,54.966667,Dressel 20,Bardon Mill,SERM,18735,,,Bardon Mill,UK
72,-0.25,51.833333,Dressel 20,St. Albans,APM,16600,,,St. Albans,UK
73,-2.016667,54.966667,Dressel 20,Corbridge,QIA,16085,,,Corbridge,UK
74,0.9,51.883333,Dressel 20,Colchester,CSEMPRONIPOLYCLITI,16975,,,Colchester,UK
75,-2.333333,54.966667,Dressel 20,Bardon Mill,EL,18739,,,Bardon Mill,UK
76,-0.093145,51.514248,Dressel 20,London,OLMEN,15904,,,London,UK
77,-2.916667,53.2,Dressel 20,Chester,MSM,16768,,,Chester,UK
78,-2.65,52.666667,Dressel 20,Wroxeter,LVC,17020,,,Wroxeter,UK
79,1.333333,51.283333,Dressel 20,Edinburgh,CANTONIQVIETI,15576,,,Edinburgh,UK
80,-1.983333,51.733333,Dressel 20,Cirencester,ASP,17180,,,Cirencester,UK
81,-2.65,52.666667,Dressel 20,Wroxeter,VRITTI,17102,,,Wroxeter,UK
82,-0.25,51.833333,Dressel 20,St. Albans,VV,17012,,,St. Albans,UK
83,-0.093145,51.514248,Amphora incerta,London,ADBVCIVSF,37011,,,London,UK
84,-2.016667,54.966667,Dressel 20,Corbridge,SCA,16875,,,Corbridge,UK
85,0.9,51.883333,Dressel 20,Colchester,SISEN,25439,,,Colchester,UK
86,-1.083333,53.966667,Dressel 20,York,LCM,15765,,,York,UK
87,-0.093145,51.514248,Dressel 20,London,APCF,16586,,,London,UK
88,-1.983333,51.733333,Dressel 20,Cirencester,SATVRNINI,16836,,,Cirencester,UK
89,-2.033333,50.783333,Dressel 20,Corfe Mullen,LFS,16019,,,Corfe Mullen,UK
90,-2.016667,54.966667,Dressel 20,Corbridge,QCM,15773,,,Corbridge,UK
91,-0.093145,51.514248,Dressel 20,London,PEP,17144,,,London,UK
92,0.9,51.883333,Dressel 20,Colchester,QS,16792,,,Colchester,UK
93,-2.916667,53.2,Dressel 20,Chester,MIAPC,16112,,,Chester,UK
94,-0.093145,51.514248,Dressel 20,London,LSLVPI,16764,,,London,UK
95,-2.916667,53.2,Dressel 20,Chester,LMVE,16406,,,Chester,UK
96,0.9,51.883333,Dressel 20,Colchester,IIIMINICIOR,16434,,,Colchester,UK
97,-1.421389,54.987778,Dressel 20,South Shields,A,17169,,,South Shields,UK
98,-2.333333,54.966667,Dressel 20,Bardon Mill,PANNIRVFI,18688,,,Bardon Mill,UK
99,-2.016667,54.966667,Dressel 20,Corbridge,LIT,16197,,,Corbridge,UK
100,-0.093145,51.514248,Amphora incerta,London,AXII,30683,,,London,UK
101,-0.25,52.583333,Dressel 20,Peterborough,CLK,15858,,,Peterborough,UK
102,-3.533333,50.7,Dressel 20,Exeter,GEMELLI,15855,,,Exeter,UK
103,1.083333,51.266667,Dressel 20,Canterbury,SAXOFERREO,16850,,,Canterbury,UK
104,0.9,51.883333,Dressel 20,Colchester,FFVTI,16045,,,Colchester,UK
105,1.333333,51.283333,Dressel 20,Edinburgh,QFF,16008,,,Edinburgh,UK
106,-2.016667,54.966667,Dressel 20,Corbridge,ACIRGI,15494,,,Corbridge,UK
107,-0.093145,51.514248,Amphora incerta,London,SCO,20728,,,London,UK
108,0.9,51.883333,Dressel 20,Colchester,CVVA,17041,,,Colchester,UK
109,-2.333333,55.016667,Amphora incerta,Housesteads,AE,20637,,,Housesteads,UK
110,-2.016667,54.966667,Dressel 20,Corbridge,ENNIORVMIVLIORVM,15922,,,Corbridge,UK
111,-1.421389,54.987778,Dressel 20,South Shields,LCM,15771,,,South Shields,UK
112,-4.064722,51.662222,Dressel 20,Loughor,CANNIRVFINI,15554,,,Loughor,UK
113,-1.066667,51.35,Dressel 20,Silchester,COLOBRARIA,20503,,,Silchester,UK
114,-2.016667,54.966667,Dressel 20,Corbridge,SCAL,16872,,,Corbridge,UK
115,-0.093145,51.514248,Dressel 20,London,PIVLICRISPI,16225,,,London,UK
116,1.333333,51.283333,Dressel 20,Edinburgh,PRISAENI,16821,,,Edinburgh,UK
117,-2.7,52.2,Dressel 20,Stoke Prior,QIC,16117,,,Stoke Prior,UK
118,-1.083333,53.966667,Mortarium,York,GRATIA,30699,,,York,UK
119,-0.093145,51.514248,Dressel 20,London,PHOEBUS,16055,,,London,UK
120,0.9,51.883333,Dressel 20,Colchester,AELIFVSCIANI,15909,,,Colchester,UK
121,-0.093145,51.514248,Dressel 20,London,MIM,16133,,,London,UK
122,-1.133333,52.633333,Dressel 20,Leicester,LAVRELIGERMANI,15411,,,Leicester,UK
123,-2.916667,53.2,Dressel 20,Chester,PCHO,15758,,,Chester,UK
124,-2.333333,54.966667,Dressel 20,Bardon Mill,AVRELIHERACLAE,33387,,,Bardon Mill,UK
125,-2.016667,54.966667,Dressel 20,Corbridge,QMR,16386,,,Corbridge,UK
126,-2.65,52.666667,Dressel 20,Wroxeter,QANTRVG,15618,,,Wroxeter,UK
127,1.333333,51.283333,Dressel 20,Edinburgh,MAI,17138,,,Edinburgh,UK
128,-2.966667,50.733333,Dressel 20,Uplyme,CAVFL,15674,,,Uplyme,UK
129,-0.093145,51.514248,Amphora incerta,London,PMS,20667,,,London,UK
130,-3.533333,50.7,Dressel 20,Exeter,LSERM,16766,,,Exeter,UK
131,-0.093145,51.514248,Dressel 20,London,POROCODV,16564,,,London,UK
132,-1.666667,54.65,Dressel 20,Bishop Auckland,VRITTIFAV,17101,,,Bishop Auckland,UK
133,-2.016667,54.966667,Dressel 20,Corbridge,ALFO,16310,,,Corbridge,UK
134,-1.983333,51.733333,Dressel 20,Cirencester,PHILEROF,16047,,,Cirencester,UK
135,-0.093145,51.514248,Dressel 20,London,VFV,17168,,,London,UK
136,1.333333,51.283333,Dressel 20,Edinburgh,I,17194,,,Edinburgh,UK
137,-2.6,53.383333,Dressel 20,Warrington,MIM,16129,,,Warrington,UK
138,-1.083333,53.966667,Dressel 20,York,RM,16346,,,York,UK
139,-0.093145,51.514248,Dressel 20,London,C,15701,,,London,UK
140,-0.083333,51.5,Dressel 20,Southwark,ARVA,15643,,,Southwark,UK
